a,ahat,POD
2.909090909090909505e-01,1.262446067154284002e+01,9.999991008139629267e-01
2.939393939393939448e-01,1.277522079636056063e+01,9.999995954643213780e-01
2.969696969696969946e-01,1.290025076536238124e+01,9.999998223588675295e-01
3.000000000000000444e-01,1.229076495665093738e+01,9.999999238638174193e-01
3.030303030303030942e-01,1.229834650015883746e+01,9.999999681519915473e-01
3.060606060606060885e-01,1.316630068026944400e+01,9.999999869982733047e-01
3.090909090909091383e-01,1.261249013234376015e+01,9.999999948199683741e-01
3.121212121212121327e-01,1.203761850902755093e+01,9.999999979859860444e-01
3.151515151515151825e-01,1.219881555038579002e+01,9.999999992358507006e-01
3.181818181818182323e-01,1.240287408294448923e+01,9.999999997170775368e-01
3.212121212121212821e-01,1.332859947673529000e+01,9.999999998977840976e-01
3.242424242424242764e-01,1.319151604770294561e+01,9.999999999639652692e-01
3.272727272727272707e-01,1.359610939425884268e+01,9.999999999876044710e-01
3.303030303030303205e-01,1.300122416977383644e+01,9.999999999958395502e-01
3.333333333333333703e-01,1.342845714797936196e+01,9.999999999986375343e-01
3.363636363636364202e-01,1.378444514547131128e+01,9.999999999995646816e-01
3.393939393939394700e-01,1.329924056101634378e+01,9.999999999998642197e-01
3.424242424242424643e-01,1.383467120314050902e+01,9.999999999999586997e-01
3.454545454545454586e-01,1.323920807172364533e+01,9.999999999999877875e-01
3.484848484848485084e-01,1.349428890418217009e+01,9.999999999999964473e-01
3.515151515151515582e-01,1.355883605147979232e+01,9.999999999999990008e-01
3.545454545454546080e-01,1.314613257628294107e+01,9.999999999999997780e-01
3.575757575757576578e-01,1.423157742786528956e+01,9.999999999999998890e-01
3.606060606060605966e-01,1.373351011102988117e+01,1.000000000000000000e+00
3.636363636363636465e-01,1.409840556214570384e+01,1.000000000000000000e+00
3.666666666666666963e-01,1.445511466201021378e+01,1.000000000000000000e+00
3.696969696969697461e-01,1.451034294804220970e+01,1.000000000000000000e+00
3.727272727272727959e-01,1.471741288356549227e+01,1.000000000000000000e+00
3.757575757575758457e-01,1.433484810323374248e+01,1.000000000000000000e+00
3.787878787878787845e-01,1.421571798247047624e+01,1.000000000000000000e+00
3.818181818181818343e-01,1.449762361891070661e+01,1.000000000000000000e+00
3.848484848484848841e-01,1.360881146083730542e+01,1.000000000000000000e+00
3.878787878787879340e-01,1.382870221351584661e+01,1.000000000000000000e+00
3.909090909090909838e-01,1.397910750531463364e+01,1.000000000000000000e+00
3.939393939393940336e-01,1.425013675192396256e+01,1.000000000000000000e+00
3.969696969696969724e-01,1.516410696027648619e+01,1.000000000000000000e+00
4.000000000000000222e-01,1.445671256678396333e+01,1.000000000000000000e+00
